,Shape *,Match,bridge,from,highway,length,name,oneway,osmid,to,Shape_Leng,OBJECTID,from_lng,from_lat,to_lng,to_lat,from_lat_mars,from_lng_mars,to_lat_mars,to_lng_mars,isShortest
1351,折线,4069,yes,4138215469,secondary,1007.304,"['新光路', '新光路铁路跨线桥']",True,"[222893048, 412373757, 59685398]",2318367519,1008.237801,1961645,120.3426677,31.5483859,120.3338286,31.5433754,31.54656193516886,120.3473284397746,31.5415344160716,120.3384753627886,1.0
1352,折线,461, ,4138215469,secondary_link,237.668, ,True,412375190,4138215471,237.945982,1960284,120.3426677,31.5483859,120.3405084,31.5473165,31.54656193516886,120.3473284397746,31.54548845667329,120.3451658010963,1.0
1353,折线,1375, ,3025546147,tertiary,98.849, ,True,250075223,3025546144,99.076222,1960619,120.342696,31.5988237,120.3416659,31.5986806,31.59700286292582,120.3473611702512,31.59685786638425,120.3463295152607,1.0
1354,折线,4452, ,606943041,primary,820.565,兴源南路,True,534202101,4138202655,819.688204,1961787,120.3427663,31.539509,120.3381501,31.5457522,31.53768435386494,120.3474264152458,31.5439196114862,120.342803767247,1.0
1355,折线,319, ,4138215470,secondary,111.028, ,True,412375192,2318385637,111.142247,1960230,120.3429743,31.5484225,120.343965,31.5489556,31.5465990994733,120.3476354994989,31.54713405306835,120.3486277130293,1.0
1356,折线,1173, ,3106717442,secondary,212.577999999999,长江路,True,305958086,3106717520,212.533062,1960552,120.343119,31.55573,120.3446399,31.5543248,31.55390750018064,120.3477810498835,31.55250494614687,120.3493040721121,1.0
1357,折线,1030,yes,2857862149,secondary,371.737,长江路,True,"[305958095, 305958093, 305958087]",3095941843,371.396285,1960498,120.3432117,31.5558012,120.3410186,31.5585646,31.55397887528895,120.347873893729,31.55673846900858,120.3456777501076,1.0
1358,折线,635, ,2681970053,secondary,99.742,兴昌路,False,71889976,2318358606,99.639551,1960345,120.3436492,31.5411034,120.3430789,31.5418573,31.53928052714726,120.3483107641395,31.54003346287323,120.3477396843623,0.0
1359,折线,481, ,2681970053,secondary_link,104.006, ,True,262533917,2681970049,103.959573,1960290,120.3436492,31.5411034,120.3440907,31.541659,31.53928052714726,120.3483107641395,31.53983698506495,120.3487529639523,0.0
1360,折线,794, ,5181285853,primary_link,221.712999999999, ,False,222892508,2318360264,43.91365,1960422,120.3436512,31.53809,120.3418167,31.5370875,31.53626682203625,120.348312505206,31.53526085881336,120.3464751850685,1.0
1361,折线,2210, ,2681970051,secondary_link,58.804, ,False,262533915,2318358606,58.934296,1960938,120.343686,31.5418655,120.3430789,31.5418573,31.54004277041094,120.3483476847803,31.54003346287323,120.3477396843623,0.0
1362,折线,4416, ,2681970051,secondary_link,44.9649999999999, ,False,262533915,2681970049,45.014776,1961770,120.343686,31.5418655,120.3440907,31.541659,31.54004277041094,120.3483476847803,31.53983698506495,120.3487529639523,1.0
1363,折线,5140, ,2318350567,primary,175.609,兴源南路,True,534202101,606943041,164.941677,1962037,120.3437443,31.5381676,120.3427663,31.539509,31.53634459949091,120.3484057495415,31.53768435386494,120.3474264152458,1.0
1364,折线,2224, ,621564168,secondary,136.723,新光路,True,59685398,4138215469,136.843481,1960941,120.3438609,31.5490772,120.3426677,31.5483859,31.5472554750163,120.348523470026,31.54656193516886,120.3473284397746,1.0
1365,折线,4777, ,2318385637,tertiary,16.737,前进路,False,246420464,621564168,16.724536,1961904,120.343965,31.5489556,120.3438609,31.5490772,31.54713405306835,120.3486277130293,31.5472554750163,120.348523470026,1.0
1366,折线,1804, ,2318385637,secondary,221.454, ,True,412375192,3240058616,221.687444,1960785,120.343965,31.5489556,120.3459481,31.550009,31.54713405306835,120.3486277130293,31.54819112370314,120.3506138018375,1.0
1367,折线,4851, ,2599291315,secondary,206.231, ,True,301625851,3025815161,206.728766,1961932,120.344094,31.5951918,120.341919,31.5951041,31.59337339150126,120.3487609267324,31.59328171401896,120.3465826840005,1.0
1368,折线,165, ,3095941842,tertiary,300.302, ,False,225792967,2681871234,299.972027,1960169,120.3445994,31.5604663,120.3429283,31.5627611,31.55864686773048,120.34926404695,31.56093880228822,120.3475906778004,1.0
1369,折线,1046, ,3095941842,tertiary,245.819, ,False,225792967,2345462979,245.568372,1960507,120.3445994,31.5604663,120.3460085,31.5586101,31.55864686773048,120.34926404695,31.55679305723025,120.3506750374543,1.0
1370,折线,1681, ,3106717520,tertiary,449.004,前卫路,False,225792970,1601770073,448.855019,1960735,120.3446399,31.5543248,120.341515,31.5512893,31.55250494614687,120.3493040721121,31.54946347756812,120.3461742657903,0.0
1371,折线,360, ,3106717520,tertiary,9.971,前卫路,False,225792970,614954099,9.967128,1960245,120.3446399,31.5543248,120.3447093,31.5543922,31.55250494614687,120.3493040721121,31.55257247722163,120.3493735796523,0.0
1372,折线,3334, ,3106717520,secondary,457.487,长江路,True,305958086,3106717460,457.351174,1961378,120.3446399,31.5543248,120.3478525,31.5512537,31.55250494614687,120.3493040721121,31.54943931630389,120.3525210371441,1.0
