OBJECTID,from_lng_mars,from_lat_mars,to_lng_mars,to_lat_mars,isOK
105,120.300163,31.575784,120.303317,31.576745,1
105,120.303219,31.576802,120.300024,31.575852,1
106,120.300028,31.574496,120.299891,31.575661,1
106,120.299829,31.57566,120.299966,31.574488,1
107,120.299854,31.575904,120.299612,31.577205,1
107,120.29955,31.577148,120.299784,31.575888,1
108,120.278226,31.565362,120.275765,31.564922,1
108,120.275883,31.564805,120.278226,31.565259,1
109,120.279089,31.569742,120.281514,31.566047,1
109,120.281566,31.56609,120.279282,31.569642,1
110,120.295015,31.551714,120.296267,31.550552,1
110,120.283759,31.563893,120.281777,31.565908,1
111,120.290286,31.55684627,120.291517,31.55555194,1
112,120.287156,31.5602,120.290231,31.556955,1
112,120.290305,31.556987,120.287232,31.560244,1
118,120.2935618,31.57281975,120.2934395,31.5714532,1
119,120.293675,31.573592,120.293674,31.573651,1
123,120.296071,31.570088,120.296733,31.570184,1
123,120.296712,31.570264,120.296047,31.5702,1
124,120.296854,31.570189,120.298908,31.570042,1
124,120.298897,31.570109,120.296854,31.570189,1
125,120.296369,31.567354,120.297075,31.568444,1
125,120.296954,31.568462,120.296328,31.567483,1
126,120.2970838,31.56860851,120.2950181,31.56986847,1
127,120.295224,31.565321,120.295027,31.563974,1
130,120.295579,31.566258,120.295243,31.565389,1
133,120.283376,31.565962,120.282244,31.567359,1
134,120.284247,31.564981,120.284247,31.564981,1
135,120.282632,31.580189,120.283521,31.580496,1
136,120.281413,31.577902,120.282555,31.580108,1
137,120.299466,31.577987,120.299174,31.579557,1
137,120.299107,31.579566,120.299392,31.577974,1
138,120.299144,31.579733,120.298966,31.58082,1
138,120.298864,31.580783,120.299078,31.579722,1
141,120.300562,31.582828,120.301049,31.583476,1
141,120.300991,31.583537,120.300467,31.58286,1
143,120.297956,31.582943,120.300314,31.582701,1
143,120.300343,31.582838,120.297871,31.58308,1
144,120.300541,31.582621,120.301002,31.58242,1
144,120.301002,31.58242,120.300659,31.582735,1
150,120.295232,31.579324,120.295327,31.579308,1
151,120.2952021,31.57931356,120.2944121,31.57758618,1
152,120.2919295,31.57917454,120.2952021,31.57931356,1
153,120.295241,31.579417,120.295209,31.579355,1
155,120.305503,31.568154,120.30443,31.569178,1
155,120.304334,31.569123,120.305396,31.568097,1
156,120.306273,31.567397,120.306273,31.567397,1
156,120.306273,31.567397,120.306209,31.567312,1
157,120.301536,31.560138,120.301005,31.562899,1
157,120.300916,31.562934,120.301509,31.559973,1
158,120.30106,31.563047,120.301601,31.564368,1
158,120.301475,31.564389,120.300963,31.56307,1
161,120.310745,31.562386,120.309532,31.563636,1
162,120.287796,31.561381,120.286769,31.562453,1
163,120.289674,31.559515,120.287859,31.561313,1
164,120.293497,31.555623,120.29249,31.556652,1
164,120.29242,31.556594,120.293405,31.555574,1
165,120.292437,31.556705,120.291984,31.557188,1
165,120.291955,31.557093,120.292367,31.556651,1
166,120.302769,31.54648,120.299826,31.549437,1
166,120.299671,31.549467,120.302759,31.546353,1
167,120.299663,31.549596,120.298486,31.550793,1
167,120.298433,31.550724,120.299598,31.549539,1
168,120.3027813,31.54945176,120.2996931,31.54954601,1
171,120.3231624,31.56145358,120.3237933,31.55894688,1
172,120.3228716,31.56265732,120.3231624,31.56145358,1
176,120.3437409,31.55926627,120.3425834,31.55872947,1
177,120.343659,31.559231,120.343844,31.558972,1
178,120.343911,31.559355,120.343689,31.559264,1
179,120.3431514,31.56049976,120.3437409,31.55926627,1
180,120.307757,31.567759,120.307601,31.566847,1
182,120.307814,31.568162,120.307772,31.567882,1
188,120.3070142,31.57212259,120.304989,31.57178464,1
197,120.281137,31.580502,120.280004,31.578213,1
197,120.28013,31.578158,120.281228,31.580455,1
199,120.281018,31.581078,120.277942,31.580661,1
199,120.277993,31.580583,120.280923,31.581006,1
200,120.2827871,31.58516142,120.2813302,31.58092175,1
201,120.29477,31.558274,120.29477,31.558274,1
203,120.29502,31.563634,120.29481,31.558397,1
