OBJECTID,distance,duation,status,time
675,317.000000,62.000000,缓行,<module 'time' (built-in)>
679,207.000000,35.000000,缓行,<module 'time' (built-in)>
683,387.000000,87.000000,畅通,<module 'time' (built-in)>
690,189.000000,12.000000,畅通,<module 'time' (built-in)>
691,1432.000000,239.000000,畅通,<module 'time' (built-in)>
692,421.000000,65.000000,畅通,<module 'time' (built-in)>
697,138.000000,9.000000,畅通,<module 'time' (built-in)>
698,1585.000000,83.000000,畅通,<module 'time' (built-in)>
700,1354.000000,70.000000,畅通,<module 'time' (built-in)>
701,104.000000,43.000000,畅通,<module 'time' (built-in)>
708,214.000000,11.000000,畅通,<module 'time' (built-in)>
717,262.000000,26.000000,畅通,<module 'time' (built-in)>
718,624.000000,33.000000,畅通,<module 'time' (built-in)>
719,723.000000,37.000000,畅通,<module 'time' (built-in)>
720,122.000000,15.000000,畅通,<module 'time' (built-in)>
721,218.000000,19.000000,畅通,<module 'time' (built-in)>
722,141.000000,11.000000,畅通,<module 'time' (built-in)>
723,1000.000000,51.000000,畅通,<module 'time' (built-in)>
724,281.000000,18.000000,畅通,<module 'time' (built-in)>
725,224.000000,12.000000,畅通,<module 'time' (built-in)>
726,810.000000,91.000000,畅通,<module 'time' (built-in)>
728,1129.000000,62.000000,畅通,<module 'time' (built-in)>
729,661.000000,37.000000,畅通,<module 'time' (built-in)>
730,657.000000,41.000000,畅通,<module 'time' (built-in)>
731,980.000000,55.000000,畅通,<module 'time' (built-in)>
740,1364.000000,85.000000,畅通,<module 'time' (built-in)>
742,156.000000,12.000000,畅通,<module 'time' (built-in)>
743,165.000000,15.000000,畅通,<module 'time' (built-in)>
744,197.000000,17.000000,畅通,<module 'time' (built-in)>
745,161.000000,16.000000,畅通,<module 'time' (built-in)>
746,115.000000,13.000000,畅通,<module 'time' (built-in)>
747,107.000000,47.000000,畅通,<module 'time' (built-in)>
748,150.000000,20.000000,畅通,<module 'time' (built-in)>
749,989.000000,55.000000,畅通,<module 'time' (built-in)>
750,1046.000000,58.000000,畅通,<module 'time' (built-in)>
751,136.000000,14.000000,畅通,<module 'time' (built-in)>
753,338.000000,20.000000,畅通,<module 'time' (built-in)>
754,546.000000,36.000000,畅通,<module 'time' (built-in)>
755,548.000000,31.000000,畅通,<module 'time' (built-in)>
756,359.000000,35.000000,畅通,<module 'time' (built-in)>
757,880.000000,47.000000,畅通,<module 'time' (built-in)>
758,659.000000,79.000000,畅通,<module 'time' (built-in)>
760,837.000000,42.000000,畅通,<module 'time' (built-in)>
761,157.000000,11.000000,畅通,<module 'time' (built-in)>
765,175.000000,17.000000,畅通,<module 'time' (built-in)>
766,292.000000,20.000000,畅通,<module 'time' (built-in)>
767,563.000000,57.000000,畅通,<module 'time' (built-in)>
770,766.000000,45.000000,畅通,<module 'time' (built-in)>
772,607.000000,39.000000,畅通,<module 'time' (built-in)>
776,116.000000,21.000000,畅通,<module 'time' (built-in)>
778,161.000000,21.000000,畅通,<module 'time' (built-in)>
780,133.000000,26.000000,畅通,<module 'time' (built-in)>
781,117.000000,11.000000,畅通,<module 'time' (built-in)>
784,286.000000,23.000000,畅通,<module 'time' (built-in)>
786,159.000000,39.000000,畅通,<module 'time' (built-in)>
787,135.000000,14.000000,畅通,<module 'time' (built-in)>
788,216.000000,18.000000,畅通,<module 'time' (built-in)>
789,208.000000,26.000000,畅通,<module 'time' (built-in)>
792,491.000000,40.000000,畅通,<module 'time' (built-in)>
793,478.000000,38.000000,畅通,<module 'time' (built-in)>
794,257.000000,17.000000,畅通,<module 'time' (built-in)>
795,254.000000,17.000000,畅通,<module 'time' (built-in)>
801,126.000000,12.000000,畅通,<module 'time' (built-in)>
802,131.000000,11.000000,畅通,<module 'time' (built-in)>
804,327.000000,23.000000,畅通,<module 'time' (built-in)>
805,252.000000,16.000000,畅通,<module 'time' (built-in)>
806,277.000000,16.000000,畅通,<module 'time' (built-in)>
807,359.000000,23.000000,畅通,<module 'time' (built-in)>
808,112.000000,10.000000,畅通,<module 'time' (built-in)>
809,174.000000,14.000000,畅通,<module 'time' (built-in)>
810,300.000000,25.000000,畅通,<module 'time' (built-in)>
813,286.000000,66.000000,畅通,<module 'time' (built-in)>
814,104.000000,17.000000,畅通,<module 'time' (built-in)>
818,162.000000,21.000000,畅通,<module 'time' (built-in)>
819,166.000000,31.000000,畅通,<module 'time' (built-in)>
824,192.000000,25.000000,畅通,<module 'time' (built-in)>
830,460.000000,60.000000,畅通,<module 'time' (built-in)>
