OBJECTID,distance,duration,status,time
520,303,43,畅通,Fri Mar  9 11:46:19 2018
521,729,67,畅通,Fri Mar  9 11:46:19 2018
525,456,74,畅通,Fri Mar  9 11:46:19 2018
534,118,38,畅通,Fri Mar  9 11:46:20 2018
538,753,59,畅通,Fri Mar  9 11:46:20 2018
549,412,63,畅通,Fri Mar  9 11:46:20 2018
567,330,49,畅通,Fri Mar  9 11:46:20 2018
571,270,49,畅通,Fri Mar  9 11:46:20 2018
573,385,42,畅通,Fri Mar  9 11:46:20 2018
575,885,128,畅通,Fri Mar  9 11:46:20 2018
578,104,11,畅通,Fri Mar  9 11:46:20 2018
579,111,38,畅通,Fri Mar  9 11:46:21 2018
590,1714,111,畅通,Fri Mar  9 11:46:21 2018
591,1415,75,畅通,Fri Mar  9 11:46:21 2018
592,377,61,畅通,Fri Mar  9 11:46:21 2018
593,114,27,畅通,Fri Mar  9 11:46:21 2018
595,804,47,畅通,Fri Mar  9 11:46:21 2018
610,799,46,畅通,Fri Mar  9 11:46:21 2018
611,227,16,畅通,Fri Mar  9 11:46:21 2018
612,161,10,畅通,Fri Mar  9 11:46:22 2018
614,549,30,畅通,Fri Mar  9 11:46:22 2018
615,363,21,畅通,Fri Mar  9 11:46:22 2018
616,128,9,畅通,Fri Mar  9 11:46:22 2018
617,592,67,畅通,Fri Mar  9 11:46:22 2018
618,648,65,畅通,Fri Mar  9 11:46:22 2018
620,1618,219,畅通,Fri Mar  9 11:46:22 2018
621,719,41,畅通,Fri Mar  9 11:46:23 2018
622,118,52,畅通,Fri Mar  9 11:46:23 2018
623,457,63,缓行,Fri Mar  9 11:46:23 2018
624,1787,229,畅通,Fri Mar  9 11:46:23 2018
625,1165,141,畅通,Fri Mar  9 11:46:23 2018
626,1067,58,畅通,Fri Mar  9 11:46:23 2018
627,1109,121,畅通,Fri Mar  9 11:46:23 2018
638,642,133,畅通,Fri Mar  9 11:46:23 2018
648,1104,59,畅通,Fri Mar  9 11:46:24 2018
649,684,39,畅通,Fri Mar  9 11:46:24 2018
655,532,86,畅通,Fri Mar  9 11:46:24 2018
658,731,91,畅通,Fri Mar  9 11:46:24 2018
659,408,33,畅通,Fri Mar  9 11:46:24 2018
660,1275,72,畅通,Fri Mar  9 11:46:24 2018
661,209,12,畅通,Fri Mar  9 11:46:24 2018
662,281,34,畅通,Fri Mar  9 11:46:24 2018
663,983,58,畅通,Fri Mar  9 11:46:25 2018
668,265,17,畅通,Fri Mar  9 11:46:25 2018
669,475,26,畅通,Fri Mar  9 11:46:25 2018
670,192,24,畅通,Fri Mar  9 11:46:25 2018
671,238,21,畅通,Fri Mar  9 11:46:25 2018
672,231,47,畅通,Fri Mar  9 11:46:25 2018
673,250,35,畅通,Fri Mar  9 11:46:25 2018
674,113,13,畅通,Fri Mar  9 11:46:26 2018
675,317,45,畅通,Fri Mar  9 11:46:26 2018
679,207,39,缓行,Fri Mar  9 11:46:26 2018
682,441,62,畅通,Fri Mar  9 11:46:26 2018
683,387,61,畅通,Fri Mar  9 11:46:26 2018
685,190,12,畅通,Fri Mar  9 11:46:26 2018
686,2443,154,畅通,Fri Mar  9 11:46:26 2018
687,531,47,畅通,Fri Mar  9 11:46:27 2018
688,237,20,畅通,Fri Mar  9 11:46:27 2018
689,2059,138,畅通,Fri Mar  9 11:46:27 2018
690,189,13,畅通,Fri Mar  9 11:46:27 2018
691,1432,205,畅通,Fri Mar  9 11:46:27 2018
692,421,65,畅通,Fri Mar  9 11:46:27 2018
694,419,41,畅通,Fri Mar  9 11:46:27 2018
697,138,10,畅通,Fri Mar  9 11:46:27 2018
698,1585,80,畅通,Fri Mar  9 11:46:28 2018
700,1354,71,畅通,Fri Mar  9 11:46:28 2018
701,104,25,畅通,Fri Mar  9 11:46:28 2018
703,270,27,未知,Fri Mar  9 11:46:28 2018
704,270,25,未知,Fri Mar  9 11:46:28 2018
706,121,15,畅通,Fri Mar  9 11:46:28 2018
708,214,12,畅通,Fri Mar  9 11:46:28 2018
709,639,46,畅通,Fri Mar  9 11:46:28 2018
717,262,14,畅通,Fri Mar  9 11:46:29 2018
718,624,33,畅通,Fri Mar  9 11:46:29 2018
719,723,38,畅通,Fri Mar  9 11:46:29 2018
720,122,17,畅通,Fri Mar  9 11:46:29 2018
721,218,24,畅通,Fri Mar  9 11:46:29 2018
722,141,9,畅通,Fri Mar  9 11:46:29 2018
723,1000,49,畅通,Fri Mar  9 11:46:29 2018
724,281,16,畅通,Fri Mar  9 11:46:29 2018
725,224,13,畅通,Fri Mar  9 11:46:30 2018
726,810,107,畅通,Fri Mar  9 11:46:30 2018
727,201,15,畅通,Fri Mar  9 11:46:30 2018
728,1129,63,畅通,Fri Mar  9 11:46:30 2018
729,661,41,畅通,Fri Mar  9 11:46:30 2018
730,657,37,畅通,Fri Mar  9 11:46:30 2018
731,980,50,畅通,Fri Mar  9 11:46:30 2018
738,540,30,畅通,Fri Mar  9 11:46:31 2018
739,144,10,畅通,Fri Mar  9 11:46:31 2018
740,1364,72,畅通,Fri Mar  9 11:46:31 2018
742,156,14,畅通,Fri Mar  9 11:46:31 2018
743,165,14,畅通,Fri Mar  9 11:46:31 2018
744,197,17,畅通,Fri Mar  9 11:46:31 2018
745,161,18,畅通,Fri Mar  9 11:46:31 2018
746,115,14,畅通,Fri Mar  9 11:46:31 2018
747,107,30,畅通,Fri Mar  9 11:46:32 2018
748,150,26,畅通,Fri Mar  9 11:46:32 2018
749,989,55,畅通,Fri Mar  9 11:46:32 2018
750,1046,56,畅通,Fri Mar  9 11:46:32 2018
751,136,13,畅通,Fri Mar  9 11:46:32 2018
753,338,20,畅通,Fri Mar  9 11:46:32 2018
754,546,30,畅通,Fri Mar  9 11:46:32 2018
755,548,31,畅通,Fri Mar  9 11:46:32 2018
756,359,21,畅通,Fri Mar  9 11:46:33 2018
757,880,47,畅通,Fri Mar  9 11:46:33 2018
758,659,36,畅通,Fri Mar  9 11:46:33 2018
760,837,43,畅通,Fri Mar  9 11:46:33 2018
761,157,12,畅通,Fri Mar  9 11:46:33 2018
762,754,46,畅通,Fri Mar  9 11:46:33 2018
765,175,15,畅通,Fri Mar  9 11:46:33 2018
766,292,18,畅通,Fri Mar  9 11:46:33 2018
767,563,56,畅通,Fri Mar  9 11:46:34 2018
769,178,17,畅通,Fri Mar  9 11:46:34 2018
770,766,46,畅通,Fri Mar  9 11:46:34 2018
772,607,34,畅通,Fri Mar  9 11:46:34 2018
775,172,14,畅通,Fri Mar  9 11:46:34 2018
776,116,23,畅通,Fri Mar  9 11:46:34 2018
777,420,39,未知,Fri Mar  9 11:46:34 2018
778,161,17,畅通,Fri Mar  9 11:46:34 2018
780,133,19,畅通,Fri Mar  9 11:46:35 2018
781,117,11,畅通,Fri Mar  9 11:46:35 2018
784,286,25,畅通,Fri Mar  9 11:46:35 2018
786,159,53,畅通,Fri Mar  9 11:46:35 2018
787,135,12,畅通,Fri Mar  9 11:46:35 2018
788,216,17,畅通,Fri Mar  9 11:46:35 2018
789,208,24,畅通,Fri Mar  9 11:46:35 2018
790,1124,83,畅通,Fri Mar  9 11:46:36 2018
791,1081,80,畅通,Fri Mar  9 11:46:36 2018
792,491,41,畅通,Fri Mar  9 11:46:36 2018
793,478,35,畅通,Fri Mar  9 11:46:39 2018
794,257,16,畅通,Fri Mar  9 11:46:39 2018
795,254,15,畅通,Fri Mar  9 11:46:39 2018
799,622,46,畅通,Fri Mar  9 11:46:39 2018
801,126,12,畅通,Fri Mar  9 11:46:39 2018
802,131,10,畅通,Fri Mar  9 11:46:40 2018
804,327,26,畅通,Fri Mar  9 11:46:40 2018
805,252,13,畅通,Fri Mar  9 11:46:40 2018
806,277,16,畅通,Fri Mar  9 11:46:40 2018
807,359,22,畅通,Fri Mar  9 11:46:40 2018
808,112,11,畅通,Fri Mar  9 11:46:40 2018
809,174,16,畅通,Fri Mar  9 11:46:40 2018
810,300,27,畅通,Fri Mar  9 11:46:41 2018
813,286,77,畅通,Fri Mar  9 11:46:41 2018
814,104,14,畅通,Fri Mar  9 11:46:41 2018
818,162,22,畅通,Fri Mar  9 11:46:41 2018
819,166,26,畅通,Fri Mar  9 11:46:41 2018
821,184,42,畅通,Fri Mar  9 11:46:41 2018
824,192,29,畅通,Fri Mar  9 11:46:41 2018
829,986,140,未知,Fri Mar  9 11:46:41 2018
830,460,57,畅通,Fri Mar  9 11:46:42 2018
838,129,12,畅通,Fri Mar  9 11:46:42 2018
