OBJECTID,access,bridge,from_,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,to,tunnel,Shape_Length,from_lat,from_lng,to_lng,to_lat,from_lat_mars,from_lng_mars,to_lat_mars,to_lng_mars
1, , ,313736000,primary,0, ,81.5285349260611, ,兴源路,True,147866731, ,2530789764, ,81.60567628087362,31.5885914,120.2988253,120.2981099,31.588999100000002,31.586689800526187,120.30342536895202,31.587096385322308,120.30270918583271
2, , ,2530789759,primary,0, ,327.1760532634395, ,兴源路,True,147866731, ,313736000, ,327.56218464319517,31.587089,120.3017952,120.2988253,31.5885914,31.585192150756374,120.30639867656186,31.586689800526187,120.30342536895202
3, , ,313736002,primary,0,2,104.46612295406824, ,春申路,True,147866737, ,3053008326, ,104.41553115181576,31.5928548,120.2924345,120.2917395,31.592125300000003,31.590943668561003,120.29702813227435,31.59021314462752,120.29633240164887
4, , ,3053025015,secondary,0, ,140.90282800162717, ,兴源北路,False,64226741, ,313736002, ,141.01484369029023,31.5935946,120.2912267,120.2924345,31.5928548,31.5916817732007,120.29581924532901,31.590943668561003,120.29702813227435
5, , ,1694826324,secondary,0, ,116.50910047915104, ,兴源路,False,245189886, ,313736002, ,116.58941656752243,31.592224,120.2934167,120.2924345,31.5928548,31.59031427278701,120.29801124668941,31.590943668561003,120.29702813227435
6, , ,2073510422,primary,0,"['3', '2']",504.4922310780468, ,"['春申路', '锡澄路']",True,"[147866737, 70659290, 70659292]", ,313736002,yes,504.1009104001281,31.5965467,120.2955225,120.2924345,31.5928548,31.594640270116237,120.3001195935676,31.590943668561003,120.29702813227435
7, , ,313736004,primary,0, ,106.2985979466812, ,兴源路,True,147866731, ,842983438, ,106.36583574982672,31.5896944,120.2968899,120.29600320000002,31.5902761,31.587789808922032,120.30148788201065,31.588370168912245,120.30060026665753
8, , ,2530789764,primary,0, ,139.03533066040185, ,兴源路,True,147866731, ,313736004, ,139.16678161673798,31.5889991,120.2981099,120.2968899,31.589694399999996,31.587096385322305,120.30270918583271,31.58778980892203,120.30148788201065
9, , ,2302169031,primary,0, ,246.31151078239225, ,五爱北路,False,244012146, ,313736019, ,245.77608932005108,31.5788271,120.28694140000002,120.2863562,31.5809854,31.576907795718295,120.29152896762412,31.57906545751977,120.29094349522093
11, , ,313736073,"['trunk_link', 'trunk']",0,"['3', '2']",16.416209365474526, ,"['蠡湖大道', '青祁路']",True,"[165051715, 165341357]", ,854443883, ,16.37800261652447,31.5429805,120.2656142,120.2656259,31.5428332,31.541037960840104,120.27019035926959,31.540890653365178,120.27020204608294
12, , ,2056663874,primary,0,3,26.51606270532137, ,太湖大道,True,222090109, ,313736073, ,26.58176364906084,31.5429824,120.265894,120.2656142,31.5429805,31.541040029953766,120.27047014838651,31.541037960840104,120.27019035926959
13, , ,2461147821,trunk_link,0,3,213.29130267252324, ,青祁路,True,165341357, ,313736073, ,212.77840711956253,31.5448973,120.26553,120.2656142,31.5429805,31.542954896570535,120.27010632796555,31.541037960840104,120.27019035926959
14, , ,313736076,secondary,0,2,295.72741699925723, ,湖滨路,True,334442768, ,2414152435, ,295.01205197048887,31.543440000000004,120.2793812,120.2793116,31.546098699999998,31.541509053659276,120.28396074157497,31.544167934673663,120.2838913341264
15, , ,313736076,primary,0,3,13.760726321568672, ,太湖大道,True,222090109, ,2302243856, ,13.794504425140323,31.543440000000004,120.2793812,120.2792361,31.5434352,31.541509053659276,120.28396074157497,31.541504098469602,120.28381556622489
16, , ,854443905,secondary,0,2,15.890557947907816, ,湖滨路,True,334442768, ,313736076, ,15.852002447724777,31.5432971,120.27937959999998,120.2793812,31.543440000000004,31.541366137980045,120.28395912845818,31.541509053659276,120.28396074157497
17, ,yes,2310690848,primary,0,3,319.79994654512814, ,太湖大道,True,"[222089219, 222090109, 222090110]", ,313736076, ,320.5855406381628,31.543513800000003,120.2827546,120.2793812,31.543440000000004,31.54158664316506,120.2873361134822,31.541509053659276,120.28396074157497
18, , ,313736081,primary,0,3,204.08989466416904, ,太湖大道,True,147866743, ,2310684926, ,204.3240730386177,31.5470452,120.2925152,120.2906725,31.5460951,31.545131191501465,120.29710496279637,31.54417838492051,120.29526043996839
19, , ,2364349956,primary,0,3,98.49244838691092, ,太湖大道,True,147866743, ,313736081, ,98.57168818918863,31.5475597,120.2933603,120.2925152,31.5470452,31.54564696849319,120.29795094057097,31.545131191501465,120.29710496279637
20, , ,313736097,primary,0,3,120.09797445024608, ,太湖大道,True,422925790, ,4226475510, ,120.21832409591957,31.566251399999995,120.3197217,120.3186571,31.5656651,31.56438542215465,120.3243484577109,31.563797075858226,120.32328218792198
21, , ,854443936,primary,0,3,98.37980763476294, ,太湖大道,True,422925790, ,313736097, ,98.28654653093523,31.5669827,120.3202561,120.3197217,31.566251399999995,31.56511778224691,120.3248837376357,31.56438542215465,120.3243484577109
