OBJECTID,isShortest
1403,FALSE
1404,TRUE
1407,TRUE
1411,FALSE
1412,TRUE
1414,TRUE
1418,TRUE
1419,FALSE
1421,FALSE
1424,FALSE
1425,FALSE
1426,TRUE
1427,FALSE
1428,FALSE
1437,TRUE
1439,FALSE
1441,TRUE
1442,TRUE
1443,TRUE
1449,TRUE
1463,FALSE
1465,FALSE
1466,TRUE
1470,FALSE
1474,FALSE
1475,TRUE
1479,TRUE
1481,TRUE
1482,FALSE
1484,FALSE
1489,TRUE
1492,FALSE
1494,FALSE
1496,TRUE
1500,TRUE
1503,FALSE
1506,TRUE
1507,TRUE
1509,FALSE
1520,TRUE
1534,TRUE
1535,FALSE
1539,FALSE
1540,FALSE
1548,TRUE
1549,TRUE
1550,FALSE
1563,TRUE
1565,TRUE
1566,TRUE
1581,TRUE
1585,FALSE
1595,TRUE
1596,FALSE
1607,FALSE
1640,FALSE
1641,FALSE
1644,TRUE
1653,TRUE
1655,TRUE
1656,TRUE
1658,FALSE
1662,FALSE
1669,TRUE
1677,TRUE
1693,TRUE
1696,TRUE
1697,TRUE
1698,FALSE
1699,FALSE
1701,TRUE
1707,TRUE
1709,TRUE
1722,FALSE
1723,TRUE
1731,FALSE
1732,TRUE
1735,FALSE
1740,TRUE
1741,FALSE
1742,TRUE
1743,TRUE
1754,TRUE
1777,TRUE
1778,TRUE
1779,FALSE
1783,TRUE
1792,FALSE
1798,TRUE
1804,FALSE
1806,FALSE
1808,TRUE
1812,FALSE
1827,TRUE
1836,TRUE
1837,FALSE
1839,TRUE
1845,FALSE
1850,TRUE
1851,TRUE
1855,FALSE
1857,TRUE
1864,TRUE
1865,FALSE
1867,TRUE
1871,FALSE
1873,FALSE
1876,TRUE
1882,FALSE
1887,TRUE
1888,FALSE
1889,TRUE
1903,TRUE
1904,TRUE
1905,FALSE
1906,FALSE
1907,TRUE
1909,FALSE
1911,TRUE
1912,TRUE
1914,FALSE
1915,FALSE
1916,TRUE
1917,FALSE
1921,FALSE
1922,TRUE
1924,TRUE
1925,FALSE
1926,FALSE
1927,FALSE
1930,FALSE
1931,TRUE
1933,TRUE
1934,TRUE
1935,FALSE
1936,FALSE
1938,TRUE
1939,FALSE
1940,FALSE
1941,FALSE
1945,TRUE
1949,FALSE
1950,TRUE
1951,TRUE
1952,TRUE
1953,TRUE
1955,TRUE
1956,TRUE
1957,TRUE
1960,FALSE
1961,TRUE
1963,FALSE
1970,TRUE
1971,FALSE
1973,TRUE
1976,TRUE
1977,TRUE
1978,FALSE
1980,TRUE
1981,FALSE
1982,FALSE
1985,FALSE
1992,FALSE
1993,TRUE
1994,TRUE
1995,TRUE
1996,FALSE
2002,TRUE
2008,FALSE
2009,TRUE
2011,FALSE
2013,FALSE
2014,FALSE
2016,TRUE
2017,TRUE
2023,FALSE
2024,TRUE
2025,FALSE
