OBJECTID,access,bridge,from_,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,to,tunnel,Shape_Length
458, , ,1750438226,"['primary', 'secondary']",0,1,602.3333313451559, ,江海南路,True,"[163326025, 244016179, 164617377]", ,1610049897, ,603.457467415766130
459, , ,1610049966,primary,0,2,425.63864015882587, ,江海南路,True,164617376, ,1763558048, ,425.556784974972630
460, ,yes,1610049974,primary,0,3,70.55676421937864, ,太湖大道,True,147857772, ,1750438364, ,70.602924948289782
461, , ,1610050084,primary,0, ,242.0987607243233, ,太湖大道,True,147857771, ,1982083349, ,242.454866435932810
462, ,yes,1750438364,primary,0,2,194.04489142724327, ,太湖大道,True,"[147857771, 163326068]", ,1610050084, ,194.175814521518130
465, , ,2300974168,primary,0,3,184.17587565140863, ,运河东路,True,64226375, ,1610220126, ,184.378997109923630
466, , ,1766385563,primary,0,2,118.97364500981868, ,蠡湖大道,True,165051711, ,1610827835, ,118.756028695493480
476, , ,2429847159,tertiary,0, ,14.952255206274112, ,金水路,False,234861496, ,1610828028, ,14.916243696558162
477, , ,1610828102,tertiary,0, ,500.3719778969082, ,金水路,False,234861496, ,1610828028, ,499.193651494770680
478, , ,1610828028,secondary,0,2,647.3307262204105, ,隐秀路,True,165051773, ,2429857857, ,648.879137211659100
479, , ,3025482674,secondary,0,2,237.83457424648066, ,隐秀路,True,165051773, ,1610828028, ,238.369707794666740
480, , ,1610828039,secondary,0, ,16.68677580787617, ,五湖大道,True,334442770, ,2429847157, ,16.650299233948498
481, , ,1610828039,secondary,0,2,195.1972680358186, ,隐秀路,True,165051773, ,3025482674, ,195.637568018048030
482, , ,2302243863,secondary,0, ,965.6685687575956, ,五湖大道,True,334442770, ,1610828039, ,963.806345831049500
483, , ,2436267799,secondary,0,2,16.146281589250993, ,隐秀路,True,165051773, ,1610828039, ,16.183023699208441
484, , ,2313808924,tertiary,0, ,211.51256126268945, ,望山路,False,147964590, ,1610828097, ,212.029251108401240
485, , ,2429845231,tertiary,0, ,221.7802784866339, ,金水路,False,234861496, ,1610828102, ,221.263399933148210
