OBJECTID,access,bridge,from_,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,to,tunnel,Shape_Length,from_lat,from_lng,to_lng,to_lat
1, , ,313736000,primary,0, ,81.5285349260611, ,兴源路,True,147866731, ,2530789764, ,81.60567628087362,31.5885914,120.2988253,120.29810990000001,2530789764
2, , ,2530789759,primary,0, ,327.1760532634395, ,兴源路,True,147866731, ,313736000, ,327.56218464319517,31.587089000000002,120.3017952,120.2988253,313736000
3, , ,313736002,primary,0,2,104.46612295406824, ,春申路,True,147866737, ,3053008326, ,104.41553115181576,31.5928548,120.2924345,120.2917395,3053008326
4, , ,3053025015,secondary,0, ,140.90282800162717, ,兴源北路,False,64226741, ,313736002, ,141.01484369029023,31.5935946,120.2912267,120.2924345,313736002
5, , ,1694826324,secondary,0, ,116.50910047915104, ,兴源路,False,245189886, ,313736002, ,116.58941656752245,31.592223999999998,120.29341670000001,120.2924345,313736002
6, , ,2073510422,primary,0,"['3', '2']",504.4922310780468, ,"['春申路', '锡澄路']",True,"[147866737, 70659290, 70659292]", ,313736002,yes,504.1009104001281,31.5965467,120.2955225,120.2924345,313736002
7, , ,313736004,primary,0, ,106.2985979466812, ,兴源路,True,147866731, ,842983438, ,106.36583574982672,31.589694399999996,120.2968899,120.29600320000002,842983438
8, , ,2530789764,primary,0, ,139.03533066040185, ,兴源路,True,147866731, ,313736004, ,139.16678161673798,31.588999100000002,120.29810990000001,120.2968899,313736004
9, , ,2302169031,primary,0, ,246.31151078239225, ,五爱北路,False,244012146, ,313736019, ,245.7760893200511,31.5788271,120.28694140000002,120.28635619999999,313736019
11, , ,313736073,"['trunk_link', 'trunk']",0,"['3', '2']",16.416209365474526, ,"['蠡湖大道', '青祁路']",True,"[165051715, 165341357]", ,854443883, ,16.37800261652447,31.5429805,120.2656142,120.2656259,854443883
12, , ,2056663874,primary,0,3,26.51606270532137, ,太湖大道,True,222090109, ,313736073, ,26.58176364906084,31.542982399999996,120.26589399999999,120.2656142,313736073
13, , ,2461147821,trunk_link,0,3,213.29130267252324, ,青祁路,True,165341357, ,313736073, ,212.77840711956253,31.5448973,120.26553,120.2656142,313736073
14, , ,313736076,secondary,0,2,295.72741699925723, ,湖滨路,True,334442768, ,2414152435, ,295.0120519704889,31.543440000000004,120.27938119999999,120.27931159999999,2414152435
15, , ,313736076,primary,0,3,13.760726321568672, ,太湖大道,True,222090109, ,2302243856, ,13.794504425140323,31.543440000000004,120.27938119999999,120.2792361,2302243856
16, , ,854443905,secondary,0,2,15.890557947907816, ,湖滨路,True,334442768, ,313736076, ,15.852002447724777,31.5432971,120.27937959999998,120.27938119999999,313736076
17, ,yes,2310690848,primary,0,3,319.79994654512814, ,太湖大道,True,"[222089219, 222090109, 222090110]", ,313736076, ,320.58554063816285,31.543513800000003,120.28275459999999,120.27938119999999,313736076
18, , ,313736081,primary,0,3,204.08989466416904, ,太湖大道,True,147866743, ,2310684926, ,204.3240730386177,31.5470452,120.2925152,120.29067250000001,2310684926
19, , ,2364349956,primary,0,3,98.49244838691092, ,太湖大道,True,147866743, ,313736081, ,98.57168818918865,31.5475597,120.29336029999999,120.2925152,313736081
20, , ,313736097,primary,0,3,120.09797445024608, ,太湖大道,True,422925790, ,4226475510, ,120.21832409591957,31.566251399999995,120.31972169999999,120.3186571,4226475510
21, , ,854443936,primary,0,3,98.37980763476294, ,太湖大道,True,422925790, ,313736097, ,98.28654653093523,31.5669827,120.3202561,120.31972169999999,313736097
22, , ,4226475380,primary_link,0,3,348.8493261674008, ,隧道出口,True,"[221851810, 422925782]", ,313736097,yes,349.22076717601647,31.567908399999997,120.322841,120.31972169999999,313736097
23, , ,606942573,primary,0, ,414.88936652481385, ,兴源路,False,47701615, ,313736102, ,414.4377384445036,31.5635962,120.32549399999999,120.32318640000001,313736102
24, , ,313736102,primary,0,2,253.21107709769132, ,兴源路,True,221498422, ,740424968, ,252.9462639301408,31.566767300000002,120.32318640000001,120.3217662,740424968
25, , ,4198817900,primary,0,2,2102.4182547168707, ,兴源路,True,419888327, ,313736102, ,2100.3410378252565,31.582597399999997,120.3111614,120.32318640000001,313736102
26, , ,313736149,primary,0, ,13.927063478270895, ,兴源路,True,147866731, ,2073509914, ,13.958925615514294,31.5867098,120.3031459,120.3030015,2073509914
27, , ,2429836056,primary,0,2,733.1935012978778, ,兴源路,True,"[64226713, 221498422]", ,313736149, ,734.1172638471016,31.5836098,120.30985690000001,120.3031459,313736149
28, , ,2457708539,primary,0, ,109.84425733582634, ,县前东街,False,64226712, ,313736389, ,109.96955529463423,31.5823515,120.29854650000001,120.2995291,313736389
29, , ,313736389,secondary,0,3,238.7146684500895,40,解放南路,True,47687414, ,606791949, ,239.08968398950887,31.5828291,120.2995291,120.3018106,606791949
30, , ,606940788,primary,0, ,183.80973159541855, ,县前东街,False,147964597, ,313736389, ,183.79163041179316,31.5840211,120.3008649,120.2995291,313736389
31, , ,2305257984,secondary,0,2,144.90916256424566,40,解放东路,False,64226766, ,313736389, ,145.0739278452627,31.5834602,120.298227,120.2995291,313736389
32, , ,4198794692,secondary,0,3,241.85631858414612,40,解放南路,True,419888356, ,313736389, ,242.26237952598342,31.5819815,120.3018707,120.2995291,313736389
33, , ,506565871,secondary,0,3,73.12970944582241,40,解放南路,True,47687414, ,2305949751, ,73.03080276429719,31.5804032,120.30375990000002,120.30412079999999,2305949751
34, , ,2302255934,secondary,0,2,91.43558669807621,40,人民中路,False,64226458, ,506565871, ,91.58237675549204,31.580061199999996,120.3028821,120.30375990000002,506565871
35, , ,2569177584,secondary,0, ,130.41698684461358, ,人民东路,False,147964620, ,506565871, ,130.64179339906735,31.5808549,120.30503030000001,120.30375990000002,506565871
36, , ,606791949,secondary,0,3,251.55857003035985,40,解放南路,True,47687414, ,506565871, ,251.61610263662888,31.5819184,120.3018106,120.30375990000002,506565871
37, , ,1913213695,secondary,0,2,194.49508328144069,40,人民中路,False,64226458, ,506565876, ,194.97066132484088,31.576985200000003,120.2913835,120.2893326,506565876
38, ,yes,1913213697,secondary,0,2,79.77197991580891,40,"['人民桥', '人民中路']",False,"[64226458, 180867669]", ,506565876, ,79.96794187831851,31.5770483,120.2884908,120.2893326,506565876
39, , ,506565876,secondary,0,3,168.61680005517567,40, 解放西路,True,221059606, ,2857718715, ,168.22723601543532,31.5770613,120.2893326,120.2890978,2857718715
40, , ,2302270783,secondary,0,3,194.7747682530041,40, 解放西路,True,221059606, ,506565876, ,194.31672684228718,31.5788001,120.2895685,120.2893326,506565876
41, , ,544367022,primary,0, ,509.1200022300129, ,太湖大道隧道,True,221851809, ,2364344140,yes,509.0364405789237,31.554708299999998,120.3018459,120.29818519999999,2364344140
42, , ,2364333227,primary_link,0, ,201.44520239239918, ,隧道入口,False,422925784, ,544367022,yes,201.45771850858802,31.5559732,120.3033625,120.3018459,544367022
43, , ,4226475380,primary,0, ,2477.7343671835583, ,太湖大道隧道,True,221851809, ,544367022,yes,2479.5128654009054,31.567908399999997,120.322841,120.3018459,544367022
44, , ,2302257657,secondary,0, ,186.03970783376118, ,中山路,False,43316199, ,544367024, ,185.9714920195389,31.5742368,120.2966261,120.29790179999999,544367024
45, , ,2302262892,secondary,0,2,183.79315761356182, ,学前街,False,47701350, ,544367024, ,184.00886863786712,31.5721184,120.2962354,120.29790179999999,544367024
46, , ,3127333965,secondary,0, ,86.48237486877605, ,中山路,False,43316199, ,544367024, ,86.43934441268837,31.5723601,120.29847590000001,120.29790179999999,544367024
47, , ,2302257651,secondary,0,3,102.88422584263981, ,学前东路,True,147964625, ,544367024, ,103.03126858307364,31.573388399999995,120.2988673,120.29790179999999,544367024
48, , ,544367025,secondary,0, ,40.58731216505279, ,中山路,True,419888295, ,4198794507, ,40.56626921420716,31.5680527,120.30283440000001,120.3025663,4198794507
